"subcorpus"	"sl"	"tl"	"type_adv"	"Texts"	"Sentences"	"Tokens"
"DE-DA"	"DE"	"DA"	"T_DIR"	1400	120128	2821294
"DE-DA"	"DE"	"DA"	"T_ID"	1400	131728	2819399
"DE-DA"	"EN"	"DA"	"EN-DIR"	1400	122003	2821160
"EL-DA"	"EL"	"DA"	"T_DIR"	212	14651	427840
"EL-DA"	"EL"	"DA"	"T_ID"	212	18398	427418
"EL-DA"	"EN"	"DA"	"EN-DIR"	212	18408	427233
"ES-DA"	"ES"	"DA"	"T_DIR"	564	37928	1138766
"ES-DA"	"ES"	"DA"	"T_ID"	564	41825	1138904
"ES-DA"	"EN"	"DA"	"EN-DIR"	564	49172	1136700
"FI-DA"	"FI"	"DA"	"T_DIR"	23	2121	46281
"FI-DA"	"FI"	"DA"	"T_ID"	23	2302	46328
"FI-DA"	"EN"	"DA"	"EN-DIR"	23	2056	46372
"FR-DA"	"FR"	"DA"	"T_DIR"	1399	108752	2822079
"FR-DA"	"FR"	"DA"	"T_ID"	1399	118672	2821697
"FR-DA"	"EN"	"DA"	"EN-DIR"	1399	121912	2819141
"IT-DA"	"IT"	"DA"	"T_DIR"	664	41892	1341902
"IT-DA"	"IT"	"DA"	"T_ID"	664	48644	1341001
"IT-DA"	"EN"	"DA"	"EN-DIR"	664	58093	1338255
"NL-DA"	"NL"	"DA"	"T_DIR"	530	50935	1066881
"NL-DA"	"NL"	"DA"	"T_ID"	530	52010	1066646
"NL-DA"	"EN"	"DA"	"EN-DIR"	530	46067	1068454
"PT-DA"	"PT"	"DA"	"T_DIR"	513	30945	1037040
"PT-DA"	"PT"	"DA"	"T_ID"	513	36417	1034962
"PT-DA"	"EN"	"DA"	"EN-DIR"	513	44644	1034339
"SV-DA"	"SV"	"DA"	"T_DIR"	280	26476	563614
"SV-DA"	"SV"	"DA"	"T_ID"	280	28063	563688
"SV-DA"	"EN"	"DA"	"EN-DIR"	280	24377	564339
"DA-DE"	"DA"	"DE"	"T_DIR"	84	7514	169083
"DA-DE"	"DA"	"DE"	"T_ID"	84	7813	169149
"DA-DE"	"EN"	"DE"	"EN-DIR"	84	7288	169291
"EL-DE"	"EL"	"DE"	"T_DIR"	217	15245	437820
"EL-DE"	"EL"	"DE"	"T_ID"	217	17970	437624
"EL-DE"	"EN"	"DE"	"EN-DIR"	217	18604	437285
"ES-DE"	"ES"	"DE"	"T_DIR"	545	38481	1100445
"ES-DE"	"ES"	"DE"	"T_ID"	545	40239	1099541
"ES-DE"	"EN"	"DE"	"EN-DIR"	545	47076	1098284
"FI-DE"	"FI"	"DE"	"T_DIR"	23	2159	46467
"FI-DE"	"FI"	"DE"	"T_ID"	23	2204	46293
"FI-DE"	"EN"	"DE"	"EN-DIR"	23	1957	46352
"FR-DE"	"FR"	"DE"	"T_DIR"	1316	101551	2653188
"FR-DE"	"FR"	"DE"	"T_ID"	1316	108493	2653662
"FR-DE"	"EN"	"DE"	"EN-DIR"	1316	113924	2651690
"IT-DE"	"IT"	"DE"	"T_DIR"	650	42221	1312749
"IT-DE"	"IT"	"DE"	"T_ID"	650	46526	1311826
"IT-DE"	"EN"	"DE"	"EN-DIR"	650	56343	1309717
"NL-DE"	"NL"	"DE"	"T_DIR"	505	48226	1016160
"NL-DE"	"NL"	"DE"	"T_ID"	505	47339	1016586
"NL-DE"	"EN"	"DE"	"EN-DIR"	505	43623	1017573
"PT-DE"	"PT"	"DE"	"T_DIR"	520	35240	1050117
"PT-DE"	"PT"	"DE"	"T_ID"	520	37469	1049363
"PT-DE"	"EN"	"DE"	"EN-DIR"	520	44967	1048034
"SV-DE"	"SV"	"DE"	"T_DIR"	271	26267	545549
"SV-DE"	"SV"	"DE"	"T_ID"	271	26220	545213
"SV-DE"	"EN"	"DE"	"EN-DIR"	271	23363	546015
