"subcorpus"	"sl"	"tl"	"Texts"	"Sentences"	"Tokens"
"DE-DA"	"DE"	"DA"	2800	251856	5640693
"DE-DA"	"EN"	"DA"	1400	122003	2821160
"EL-DA"	"EL"	"DA"	424	33049	855258
"EL-DA"	"EN"	"DA"	212	18408	427233
"ES-DA"	"ES"	"DA"	1128	79753	2277670
"ES-DA"	"EN"	"DA"	564	49172	1136700
"FI-DA"	"FI"	"DA"	46	4423	92609
"FI-DA"	"EN"	"DA"	23	2056	46372
"FR-DA"	"FR"	"DA"	2798	227424	5643776
"FR-DA"	"EN"	"DA"	1399	121912	2819141
"IT-DA"	"IT"	"DA"	1328	90536	2682903
"IT-DA"	"EN"	"DA"	664	58093	1338255
"NL-DA"	"NL"	"DA"	1060	102945	2133527
"NL-DA"	"EN"	"DA"	530	46067	1068454
"PT-DA"	"PT"	"DA"	1026	67362	2072002
"PT-DA"	"EN"	"DA"	513	44644	1034339
"SV-DA"	"SV"	"DA"	560	54539	1127302
"SV-DA"	"EN"	"DA"	280	24377	564339
"DA-DE"	"DA"	"DE"	168	15327	338232
"DA-DE"	"EN"	"DE"	84	7288	169291
"EL-DE"	"EL"	"DE"	434	33215	875444
"EL-DE"	"EN"	"DE"	217	18604	437285
"ES-DE"	"ES"	"DE"	1090	78720	2199986
"ES-DE"	"EN"	"DE"	545	47076	1098284
"FI-DE"	"FI"	"DE"	46	4363	92760
"FI-DE"	"EN"	"DE"	23	1957	46352
"FR-DE"	"FR"	"DE"	2632	210044	5306850
"FR-DE"	"EN"	"DE"	1316	113924	2651690
"IT-DE"	"IT"	"DE"	1300	88747	2624575
"IT-DE"	"EN"	"DE"	650	56343	1309717
"NL-DE"	"NL"	"DE"	1010	95565	2032746
"NL-DE"	"EN"	"DE"	505	43623	1017573
"PT-DE"	"PT"	"DE"	1040	72709	2099480
"PT-DE"	"EN"	"DE"	520	44967	1048034
"SV-DE"	"SV"	"DE"	542	52487	1090762
"SV-DE"	"EN"	"DE"	271	23363	546015
